favorite_count,retweet_count,tweet_id
35481,7494,892420643555336193
30714,5562,892177421306343426
23095,3684,891815181378084864
38781,7676,891689557279858688
37041,8279,891327558926688256
18681,2774,891087950875897856
10857,1800,890971913173991426
59815,16786,890729181411237888
25694,3825,890609185150312448
29345,6516,890240255349198849
28266,6521,890006608113172480
25722,4437,889880896479866881
44196,8897,889665388333682689
24859,3978,889638837579907072
13973,2010,889531135344209921
23204,4742,889278841981685760
26819,3993,888917238123831296
23533,3767,888804989199671297
18156,3076,888554962724278272
20050,3086,888078434458587136
27878,4802,887705289381826560
42715,10477,887517139158093824
63256,16000,887473957103951883
31019,9363,887343217045368832
28226,5306,887101392804085760
32075,6806,886983233522544640
11007,2836,886736880519319552
20721,3989,886680336477933568
19456,2812,886366144734445568
110,4,886267009285017600
25755,5628,886258384151887873
0,97,886054160059072513
29987,5977,885984800019947520
33106,5689,885528943205470208
18867,3314,885518971528720385
0,16457,885311592912609280
20149,3883,885167619883638784
70886,16054,884925521741709313
25602,4959,884876753390489601
22386,4183,884562892145688576
24961,5077,884441805382717440
66736,18060,884247878851493888
18797,2662,884162670584377345
20102,3039,883838122936631299
42198,8790,883482846933004288
20878,3281,883360690899218434
34126,5918,883117836046086144
21990,3454,882992080364220416
26009,4345,882762694511734784
25802,5403,882627270321602560
41259,10311,882268110199369728
27001,4334,882045870035918850
22443,3028,881906580714921986
46670,9502,881666595344535552
116,7,881633300179243008
45560,14242,881536004380872706
21452,4713,881268444196462592
15759,2492,880935762899988482
19609,3414,880872448815771648
26213,5533,880465832366813184
24834,3702,880221127280381952
25452,3876,880095782870896641
20626,3103,879862464715927552
292,10,879674319642796034
21647,2835,879492040517615616
97475,39733,879415818425184262
15515,2792,879376492567855104
0,6069,879130579576475649
20793,4190,879050749262655488
17540,2388,879008229531029506
17866,3649,878776093423087618
27750,6303,878604707211726852
0,1135,878404777348136964
0,5925,878316110768087041
7131,1135,878281511006478336
38849,6069,878057613040115712
73020,16892,877736472329191424
0,71,877611172832227328
20940,3400,877556246731214848
25330,4655,877316821321428993
25015,4967,877201837425926144
19112,2979,876838120628539392
21914,4200,876537666061221889
17349,2114,876484053909872640
25855,4168,876120275196170240
23186,3819,875747767867523072
20280,4391,875144289856114688
25363,5448,875097192612077568
23581,4221,875021211251597312
25734,4152,874680097055178752
0,13011,874434818259525634
24092,3701,874296783580663808
21031,3567,874057562936811520
31662,9154,874012996292530176
22417,3541,873580283840344065
0,1419,873337748698140672
6628,1419,873213775632977920
25224,4865,872967104147763200
13651,3345,872820683541237760
19211,3275,872620804844003328
37790,8140,872486979161796608
31751,7288,872122724285648897
34818,9845,871879754684805121
18756,3140,871762521631449091
18736,3129,871515927908634625
0,5153,871166179821445120
19430,4976,871102520638267392
21135,3441,871032628920680449
31283,5596,870804317367881728
113,3,870726314365509632
11473,2366,870656317836468226
77284,24047,870374049280663552
20396,3757,870308999962521604
33997,7523,870063196459192321
39672,9179,869772420881756160
26289,5706,869702957897576449
14873,2822,869596645499047938
19027,3420,869227993411051520
60911,13084,868880397819494401
0,1877,868639477480148993
24830,4802,868622495443632128
9391,1877,868552278524837888
22606,3809,867900495410671616
31718,6672,867774946302451713
15025,2271,867421006826221569
0,109,867072653475098625
30089,7196,867051520902168576
18690,4374,866720684873056260
17993,3169,866686824827068416
114320,32188,866450705531457537
48927,13011,866334964761202691
0,7666,866094527597207552
24043,5147,865718153858494464
24772,4571,865359393868664832
26254,7060,865006731092295680
30208,7955,864873206498414592
13675,2760,864279568663928832
28087,8089,864197398364647424
19325,3797,863907417377173506
14323,3849,863553081350529029
0,2222,863471782782697472
22316,4810,863432100342583297
2066,89,863427515083354112
8240,1022,863079547188785154
7923,2222,863062471531167744
18007,4730,862831371563274240
16077,3263,862722525377298433
19188,4525,862457590147678208
69705,21337,862096992088072192
33942,9866,861383897657036800
16151,3818,861288531465048066
15714,3529,861005113778896900
0,1981,860981674716409858
0,735,860924035999428608
7057,1981,860563773140209665
22290,4906,860524505164394496
17354,3251,860276583193509888
15719,5412,860184849394610176
0,28615,860177593139703809
18512,3814,859924526012018688
14577,3274,859851578198683649
17606,1443,859607811541651456
84867,27961,859196978902773760
31944,12673,859074603037188101
0,7540,858860390427611136
14777,3234,858843525470990336
20387,4525,858471635011153920
14935,2694,858107933456039936
15226,2416,857989990357356544
32468,9924,857746408056729600
5588,1532,857393404942143489
19068,4232,857263160327368704
214,17,857214891891077121
0,157,857062103051644929
17920,3721,857029823797047296
15565,2699,856543823941562368
11302,1765,856526610513747968
0,627,856330835276025856
490,15,856288084350160898
26408,5890,856282028240666624
319,23,855862651834028034
4668,917,855860136149123072
11316,1979,855857698524602368
43715,17008,855851453814013952
25445,5109,855818117272018944
28426,7746,855459453768019968
0,5600,855245323840757760
0,43,855138241867124737
21739,5726,854732716440526848
27973,6455,854482394044301312
18085,4438,854365224396361728
30636,7049,854120357044912130
15566,2987,854010172552949760
27398,5454,853760880890318849
33240,9477,853639147608842240
14872,3369,853299958564483072
0,1883,852936405516943360
8653,1711,852912242202992640
14349,2054,852672615818899456
15656,3297,852553447878664193
31898,9466,852311364735569921
19260,6525,852226086759018497
11044,1514,852189679701164033
0,19,851861385021730816
15698,3307,851591660324737024
23394,6746,851464819735769094
19978,5484,851224888060895234
29698,8681,850753642995093505
12663,2488,850380195714523136
3339,315,850333567704068097
15787,3627,850145622816686080
19741,4660,850019790995546112
29381,7263,849776966551130114
0,4754,849668094696017920
15369,3018,849412302885593088
11061,1816,849336543269576704
41012,8119,849051919805034497
24415,4160,848690551926992896
23964,4450,848324959059550208
7922,693,848213670039564288
15825,2904,848212111729840128
0,3137,847978865427394560
0,420,847971574464610304
22839,4878,847962785489326080
5260,1270,847842811428974592
6780,396,847617282490613760
18245,3300,847606175596138505
19934,4166,847251039262605312
19310,5643,847157206088847362
20875,3067,847116187444137987
19510,3777,846874817362120707
43338,11108,846514051647705089
13724,2955,846505985330044928
30693,8697,846153765933735936
30220,9704,846139713627017216
15547,2762,846042936437604353
28436,8372,845812042753855489
24553,4636,845677943972139009
7422,1725,845397057150107648
22730,5194,845306882940190720
0,7403,845098359547420673
13304,2460,844979544864018432
14663,3065,844973813909606400
16053,3011,844580511645339650
13336,2113,844223788422217728
14813,2854,843981021012017153
20937,4470,843856843873095681
16486,2652,843604394117681152
21002,5820,843235543001513987
14945,3516,842846295480000512
6567,1230,842765311967449089
17708,3403,842535590457499648
23898,5600,842163532590374912
13660,2929,842115215311396866
0,14575,841833993020538882
25201,7588,841680585030541313
12355,3564,841439858740625411
19370,5342,841320156043304961
15514,4510,841314665196081154
22362,5153,841077006473256960
0,1713,840761248237133825
0,15598,840728873075638272
172,2,840698636975636481
12026,945,840696689258311684
8809,1713,840632337062862849
16100,4426,840370681858686976
18860,5561,840268004936019968
13161,2212,839990271299457024
26916,7540,839549326359670784
0,140,839290600511926273
26582,6359,839239871831150596
19287,3888,838952994649550848
10918,1996,838921590096166913
0,33,838916489579200512
0,10721,838831947270979586
10757,1298,838561493054533637
22049,4646,838476387338051585
0,9782,838201503651401729
1636,324,838150277551247360
138,1,838085839343206401
17323,3045,838083903487373313
33443,7666,837820167694528512
3798,435,837482249356513284
12574,2218,837471256429613056
15754,2310,837110210464448512
12533,2250,836989968035819520
19028,4544,836753516572119041
12425,2180,836677758902222849
0,541,836648853927522308
0,26873,836397794269200385
14527,2924,836380477523124226
20976,4213,836260088725786625
18771,4167,836001077879255040
0,7958,835685285446955009
17509,3541,835574547218894849
0,1656,835536468978302976
0,20463,835309094223372289
16218,2936,835297930240217089
7601,1656,835264098648616962
2062,72,835246439529840640
25763,5644,835172783151792128
22023,2938,835152434251116546
10632,1596,834931633769889797
21098,5393,834786237630337024
13436,2468,834574053763584002
0,10423,834477809192075265
9490,1642,834458053273591808
20257,4639,834209720923721728
15594,3586,834167344700198914
9893,2092,834089966724603904
12866,2162,834086379323871233
13241,2360,833863086058651648
17832,3701,833826103416520705
0,219,833732339549220864
20539,3161,833722901757046785
14659,2008,833479644947025920
19921,4754,833124694597443584
13065,2155,832998151111966721
0,39,832769181346996225
16643,3546,832757312314028032
11708,2857,832682457690300417
2891,523,832645525019123713
15643,2730,832636094638288896
11806,2168,832397543355072512
16955,3137,832369877331693569
11195,2291,832273440279240704
0,6097,832215909146226688
0,9154,832215726631055365
62,2,832088576586297345
0,9431,832040443403784192
17623,4580,832032802820481025
23667,6020,831939777352105988
332,34,831926988323639298
27218,6372,831911600680497154
10286,1780,831670449226514432
7025,1883,831650051525054464
8861,2280,831552930092285952
9169,1530,831322785565769729
6459,1106,831315979191906304
11617,2422,831309418084069378
11751,2005,831262627380748289
7882,1469,830956169170665475
65950,16457,830583320585068544
0,5591,830173239259324417
9670,2883,830097400375152640
0,4918,829878982036299777
12104,1910,829861396166877184
31351,10423,829501995190984704
10352,1977,829449946868879360
24103,7204,829141528400556032
52620,16056,829011960981237760
0,3371,828801551087042563
25293,5753,828770345708580865
36068,10995,828708714936930305
9398,1316,828650029636317184
6288,1149,828409743546925057
7597,1266,828408677031882754
12454,2185,828381636999917570
7294,1052,828376505180889089
12443,2886,828372645993398273
2164,172,828361771580813312
11628,2829,828046555563323392
10243,2123,828011680017821696
19884,5156,827933404142436356
15341,2980,827653905312006145
7393,930,827600520311402496
15690,2996,827324948884643840
10477,2191,827199976799354881
21352,4918,826958653328592898
35937,10001,826848821049180160
0,3935,826615380357632002
5079,247,826598799820865537
9928,2310,826598365270007810
18227,4127,826476773533745153
13157,2571,826240494070030336
4832,910,826204788643753985
15500,3059,826115272272650244
10380,1842,825876512159186944
12632,2457,825829644528148480
56393,17337,825535076884762624
18138,4480,825147591692263424
0,1236,825120256414846976
6234,1236,825026590719483904
0,5434,824796380199809024
14782,3465,824775126675836928
10434,1752,824663926340194305
11727,10432,824325613288833024
14935,3813,824297048279236611
4790,593,824025158776213504
10538,2672,823939628516474880
0,11039,823719002937630720
13860,2491,823699002998870016
12916,2596,823581115634085888
696,23,823333489516937216
15615,3971,823322678127919110
0,9774,823269594223824897
17195,3405,822975315408461824
130534,42672,822872901745569793
13149,2246,822859134160621569
0,6344,822647212903690241
14697,2926,822610361945911296
18007,6343,822489057087389700
27746,14102,822462944365645825
34699,9774,822244816520155136
0,4708,822163064745328640
11247,2281,821886076407029760
0,3347,821813639212650496
8351,1637,821765923262631936
7977,1739,821522889702862852
0,5516,821421320206483457
11674,4297,821407182352777218
256,10,821153421864615936
8575,1951,821149554670182400
9538,2117,821107785811234820
12591,2253,821044531881721856
0,6653,820837357901512704
31360,9782,820749716845686786
